"id","postcode","place_name","state_name","state_code","latitude","longitude"
8849,"4226",MERRIMAC,ROBINA DC,QLD,-2.8039999,153.358994
8850,"4226",ROBINA,ROBINA DC,QLD,-28.0779991,153.389008
8851,"4227",REEDY CREEK,BURLEIGH DC,QLD,-28.1079998,153.395004
8852,"4227",VARSITY LAKES,BURLEIGH DC,QLD,-28.0890007,153.412003
8853,"4228",TALLEBUDGERA,BURLEIGH DC,QLD,-28.1480007,153.421005
8854,"4228",TALLEBUDGERA VALLEY,BURLEIGH DC,QLD,-2.81500006,15.3380003
8855,"4229",BOND UNIVERSITY,ROBINA DC,QLD,-28.0750008,153.414001
8856,"4230",ROBINA TOWN CENTRE,ROBINA DC,QLD,-28.0769997,15.3380003
8857,"4270",TAMBORINE,NORTH TAMBORINE-LPO,QLD,-27.8799992,153.130005
8858,"4271",EAGLE HEIGHTS,NORTH TAMBORINE-LPO,QLD,-27.9220009,153.207001
8859,"4272",MOUNT TAMBORINE,NORTH TAMBORINE-LPO,QLD,-27.9470005,153.190994
8860,"4272",NORTH TAMBORINE,NORTH TAMBORINE-LPO,QLD,-2.79200006,153.184006
8861,"4272",TAMBORINE MOUNTAIN,NORTH TAMBORINE-LPO,QLD,-27.9050007,153.179993
8862,"4275",BENOBBLE,CANUNGRA - LPO,QLD,-27.9950008,153.162003
8863,"4275",BIDDADDABA,CANUNGRA - LPO,QLD,-27.9860001,153.110001
8864,"4275",BOYLAND,CANUNGRA - LPO,QLD,-27.9419994,153.132004
8865,"4275",CANUNGRA,CANUNGRA - LPO,QLD,-28.0170002,153.164001
8866,"4275",FERNY GLEN,CANUNGRA - LPO,QLD,-28.0769997,153.160995
8867,"4275",FLYING FOX,CANUNGRA - LPO,QLD,-28.0960007,153.171997
8868,"4275",ILLINBAH,CANUNGRA - LPO,QLD,-28.1149998,153.141998
8869,"4275",LAMINGTON NATIONAL PARK,CANUNGRA - LPO,QLD,-28.2450008,153.117004
8870,"4275",SARABAH,CANUNGRA - LPO,QLD,-28.1259995,153.128998
8871,"4275",WITHEREN,CANUNGRA - LPO,QLD,-28.0380001,153.182007
8872,"4275",WONGLEPONG,CANUNGRA - LPO,QLD,-2.79699993,153.162994
8873,"4280",JIMBOOMBA,CRESTMEAD DC,QLD,-27.8309994,153.028
8874,"4280",NORTH MACLEAN,CRESTMEAD DC,QLD,-27.7689991,153.001999
8875,"4280",SOUTH MACLEAN,CRESTMEAD DC,QLD,-27.7889996,153.005997
8876,"4280",STOCKLEIGH,CRESTMEAD DC,QLD,-27.7810001,153.057007
8877,"4285",ALLENVIEW,BEAUDESERT,QLD,-27.9009991,152.938995
8878,"4285",BEAUDESERT,BEAUDESERT,QLD,-27.9860001,15.2989998
8879,"4285",BIRNAM,BEAUDESERT,QLD,-27.9559994,15.3039999
8880,"4285",BROMELTON,BEAUDESERT,QLD,-27.9799995,152.957001
8881,"4285",CAINBABLE,BEAUDESERT,QLD,-28.1490002,153.095993
8882,"4285",CEDAR GROVE,BEAUDESERT,QLD,-27.8610001,152.979996
8883,"4285",CEDAR VALE,BEAUDESERT,QLD,-2.78699994,153.014999
8884,"4285",CHINGHEE CREEK,BEAUDESERT,QLD,-2.8269999,15.2980003
